Datetime	Open	High	Low	Close	tick_volume
1542386700	1.14061	1.14078	1.14011	1.14048	1363
1542387600	1.14048	1.14061	1.13949	1.13963	1203
1542388500	1.13966	1.14025	1.1395	1.14005	1030
1542389400	1.14005	1.14006	1.13939	1.13951	1134
1542390300	1.13952	1.13986	1.13908	1.13945	1266
1542391200	1.13945	1.14089	1.1392	1.14041	1390
1542392100	1.14041	1.14078	1.14003	1.14031	960
1542393000	1.1403	1.14096	1.14024	1.14065	971
1542393900	1.14065	1.14074	1.14008	1.14011	785
1542394800	1.1401	1.14093	1.1401	1.14066	788
1542395700	1.14066	1.14183	1.14046	1.1418	987
1542396600	1.1418	1.14193	1.14104	1.14109	1552
1542397500	1.14113	1.14135	1.14062	1.14118	1276
1542398400	1.14118	1.14187	1.14107	1.14114	1221
1542399300	1.14114	1.14171	1.14102	1.14169	592
1542400200	1.14169	1.14196	1.14149	1.14152	704
1542401100	1.14152	1.14166	1.14099	1.14104	727
1542402000	1.14103	1.14119	1.14028	1.14112	841
1542402900	1.14112	1.1412	1.1408	1.14106	373
1542403800	1.14106	1.14116	1.14036	1.14057	558
1542404700	1.14056	1.14136	1.14056	1.14136	545
1542405600	1.14134	1.14134	1.1408	1.14129	494
1542406500	1.14129	1.14142	1.14115	1.14126	313
1542407400	1.14127	1.14176	1.14119	1.14172	264
1542408300	1.14172	1.14197	1.14136	1.14156	327
1542409200	1.14157	1.14163	1.14121	1.14138	344
1542410100	1.14137	1.14146	1.14133	1.14136	171
1542411000	1.14135	1.14179	1.1413	1.14176	280
1542411900	1.14178	1.14199	1.14136	1.1414	498
1542585600	1.14136	1.14161	1.14134	1.14149	75
1542586500	1.14149	1.1416	1.14138	1.1416	126
1542587400	1.1416	1.14191	1.14154	1.14191	997
1542588300	1.14185	1.14201	1.14159	1.14159	275
1542589200	1.14161	1.14179	1.14117	1.1412	632
1542590100	1.14121	1.14189	1.14121	1.14185	532
1542591000	1.14185	1.14208	1.14058	1.14096	785
1542591900	1.14096	1.14144	1.14096	1.14133	369
1542592800	1.14133	1.14133	1.14078	1.14094	533
1542593700	1.14095	1.1411	1.1407	1.14105	434
1542594600	1.14105	1.14122	1.14077	1.14104	260
1542595500	1.14104	1.14104	1.14057	1.14097	359
1542596400	1.14098	1.14126	1.1407	1.14075	394
1542597300	1.14075	1.14152	1.14075	1.14125	376
1542598200	1.14125	1.14127	1.14082	1.14102	260
1542599100	1.14102	1.14122	1.14087	1.1411	245
1542600000	1.1411	1.14131	1.14079	1.14115	259
1542600900	1.14114	1.14121	1.14097	1.141	213
1542601800	1.141	1.14109	1.1408	1.14103	255
1542602700	1.14102	1.14107	1.14074	1.14078	282
1542603600	1.14078	1.14119	1.14065	1.14108	290
1542604500	1.14108	1.14116	1.14077	1.1408	246
1542605400	1.1408	1.14084	1.14056	1.14067	280
1542606300	1.14066	1.14069	1.14034	1.14053	368
1542607200	1.14053	1.14065	1.14026	1.14041	313
1542608100	1.14041	1.14048	1.13986	1.13998	292
1542609000	1.13998	1.14012	1.13996	1.1401	225
1542609900	1.1401	1.14011	1.13968	1.13975	246
