Datetime	Open	High	Low	Close	tick_volume
1542386700	1.28651	1.28718	1.28583	1.28718	1805
1542387600	1.28718	1.28718	1.28521	1.28522	1654
1542388500	1.28522	1.28558	1.28408	1.28533	1563
1542389400	1.28532	1.28544	1.28395	1.28434	1475
1542390300	1.28434	1.28455	1.28334	1.2839	2042
1542391200	1.28392	1.2845	1.28352	1.28369	2257
1542392100	1.28365	1.28383	1.28267	1.28361	1544
1542393000	1.28361	1.28497	1.28314	1.28333	1326
1542393900	1.28333	1.28415	1.28312	1.28369	1301
1542394800	1.28369	1.28455	1.28349	1.28411	927
1542395700	1.2841	1.28499	1.2841	1.28464	1430
1542396600	1.28464	1.28464	1.28131	1.28191	1433
1542397500	1.28191	1.28239	1.28107	1.28194	940
1542398400	1.28194	1.28314	1.28191	1.28269	975
1542399300	1.28269	1.28341	1.28264	1.28335	576
1542400200	1.28335	1.28381	1.28304	1.28304	606
1542401100	1.28305	1.28305	1.2819	1.28225	779
1542402000	1.28225	1.28287	1.28161	1.28284	574
1542402900	1.28284	1.28289	1.28196	1.28212	542
1542403800	1.28215	1.28271	1.28196	1.28229	725
1542404700	1.28229	1.2832	1.28223	1.2831	670
1542405600	1.28306	1.28308	1.28225	1.28245	579
1542406500	1.28245	1.28257	1.28235	1.28245	209
1542407400	1.28245	1.28303	1.28233	1.28298	270
1542408300	1.28299	1.28299	1.28226	1.28278	438
1542409200	1.28277	1.2831	1.2824	1.2826	358
1542410100	1.28261	1.28278	1.28253	1.28265	207
1542411000	1.28265	1.28318	1.28244	1.28318	315
1542411900	1.28318	1.28324	1.28216	1.28216	417
1542585600	1.28307	1.28403	1.28293	1.28378	69
1542586500	1.28379	1.28393	1.28327	1.28342	284
1542587400	1.28342	1.28394	1.28336	1.28347	570
1542588300	1.28347	1.28354	1.28234	1.28311	416
1542589200	1.28311	1.28377	1.28294	1.28302	833
1542590100	1.28299	1.28398	1.28298	1.28397	701
1542591000	1.28397	1.2843	1.2832	1.28322	395
1542591900	1.28322	1.28342	1.28309	1.2833	261
1542592800	1.2833	1.28342	1.28288	1.28331	688
1542593700	1.28331	1.28366	1.28295	1.28346	345
1542594600	1.28346	1.28346	1.28261	1.28271	294
1542595500	1.28271	1.28339	1.28236	1.28337	378
1542596400	1.28337	1.28373	1.28301	1.28303	433
1542597300	1.28303	1.28348	1.28303	1.2834	517
1542598200	1.28338	1.28376	1.28312	1.28335	368
1542599100	1.28335	1.28373	1.2833	1.28356	225
1542600000	1.28358	1.28376	1.28336	1.28354	322
1542600900	1.28354	1.28368	1.28332	1.28333	370
1542601800	1.28332	1.28377	1.28293	1.2836	344
1542602700	1.2836	1.28363	1.28329	1.28342	380
1542603600	1.28343	1.28403	1.28342	1.28398	332
1542604500	1.28398	1.28398	1.28368	1.28368	240
1542605400	1.28368	1.28374	1.28343	1.28351	376
1542606300	1.28351	1.28355	1.28324	1.28355	328
1542607200	1.28355	1.28367	1.28319	1.28333	359
1542608100	1.28333	1.28334	1.28284	1.28289	327
1542609000	1.28289	1.28298	1.28262	1.28264	182
1542609900	1.28264	1.28277	1.28241	1.28249	313
1542610800	1.28248	1.2825	1.28203	1.28222	350
1542611700	1.28222	1.28229	1.28203	1.28214	252
1542612600	1.28214	1.28228	1.28212	1.28217	285
1542613500	1.28217	1.28272	1.28195	1.28261	332
1542614400	1.28261	1.28267	1.28179	1.28192	438
1542615300	1.28192	1.28344	1.28191	1.28339	546
1542616200	1.28339	1.28426	1.28303	1.28384	590
1542617100	1.28384	1.28385	1.2833	1.2833	590
1542618000	1.2833	1.28443	1.28321	1.28443	796
1542618900	1.28443	1.28443	1.28359	1.28373	734
1542619800	1.28373	1.28527	1.28342	1.28522	916
1542620700	1.28522	1.28627	1.28508	1.28566	1234
1542621600	1.28564	1.28735	1.2851	1.28732	1759
1542622500	1.28732	1.28743	1.28607	1.28633	948
1542623400	1.28633	1.28837	1.28631	1.28753	1232
1542624300	1.28753	1.28802	1.2867	1.28675	1106
1542625200	1.28676	1.28692	1.28534	1.28545	1219
1542626100	1.28546	1.28555	1.28462	1.28531	1048
1542627000	1.28531	1.28618	1.28486	1.28612	1191
1542627900	1.28609	1.28727	1.28583	1.28695	1287
1542628800	1.28696	1.28696	1.28508	1.28589	1061
1542629700	1.28588	1.28674	1.2855	1.28633	1198
1542630600	1.28633	1.28715	1.28582	1.28599	1181
1542631500	1.28598	1.28672	1.28575	1.28642	1015
1542632400	1.28642	1.28698	1.28563	1.28684	1288
1542633300	1.28686	1.28709	1.28606	1.28646	932
1542634200	1.28646	1.28787	1.28605	1.28712	1287
1542635100	1.2871	1.28733	1.27936	1.28058	2840
1542636000	1.28057	1.28265	1.28053	1.28128	1699
1542636900	1.28127	1.28185	1.28081	1.28105	1269
1542637800	1.28105	1.28206	1.28014	1.28158	1482
1542638700	1.28158	1.28309	1.28099	1.28304	1096
1542639600	1.28304	1.28305	1.28134	1.28265	1548
1542640500	1.28265	1.28587	1.28264	1.28556	1701
1542641400	1.28553	1.28582	1.28423	1.28494	1415
1542642300	1.28492	1.28536	1.28425	1.28464	1225
1542643200	1.28465	1.2847	1.28381	1.28426	1373
1542644100	1.28426	1.28542	1.28426	1.28439	1160
1542645000	1.28438	1.28446	1.28225	1.28314	1590
1542645900	1.28314	1.28375	1.28244	1.28262	1347
1542646800	1.28262	1.28566	1.28255	1.28431	1799
1542647700	1.28431	1.28659	1.28332	1.28584	2250
1542648600	1.28585	1.28731	1.2858	1.28704	1650
1542649500	1.28704	1.28726	1.28593	1.28634	1835
1542650400	1.28634	1.28722	1.28548	1.28573	1621
1542651300	1.28573	1.28686	1.28496	1.28547	1255
1542652200	1.28547	1.28632	1.28508	1.28545	1439
1542653100	1.28545	1.28568	1.28343	1.28403	1420
1542654000	1.28403	1.28468	1.28313	1.28464	911
1542654900	1.28464	1.28523	1.28438	1.28453	776
1542655800	1.28453	1.28565	1.28428	1.28533	868
1542656700	1.28533	1.2864	1.28505	1.28595	619
1542657600	1.28595	1.28623	1.28551	1.2858	718
1542658500	1.28578	1.28605	1.28493	1.28588	819
1542659400	1.28586	1.28662	1.28521	1.28649	567
