Datetime	Open	High	Low	Close	tick_volume
1542386700	112.703	112.785	112.694	112.718	1776
1542387600	112.716	112.777	112.68	112.776	1675
1542388500	112.776	112.855	112.758	112.801	1593
1542389400	112.803	112.885	112.782	112.879	1132
1542390300	112.879	112.884	112.812	112.828	1195
1542391200	112.827	112.865	112.789	112.847	1073
1542392100	112.847	112.853	112.806	112.822	834
1542393000	112.822	112.838	112.756	112.783	1038
1542393900	112.783	112.818	112.729	112.764	907
1542394800	112.764	112.784	112.699	112.728	1248
1542395700	112.726	112.753	112.641	112.643	875
1542396600	112.643	112.902	112.638	112.844	1696
1542397500	112.846	112.942	112.839	112.844	1210
1542398400	112.844	112.871	112.691	112.775	1373
1542399300	112.775	112.806	112.746	112.75	1273
1542400200	112.749	112.776	112.707	112.738	1052
1542401100	112.737	112.815	112.723	112.808	681
1542402000	112.807	112.875	112.775	112.775	975
1542402900	112.777	112.852	112.768	112.837	888
1542403800	112.837	112.896	112.837	112.884	675
1542404700	112.884	112.89	112.82	112.82	648
1542405600	112.817	112.829	112.808	112.821	520
1542406500	112.821	112.848	112.818	112.834	459
1542407400	112.834	112.836	112.763	112.768	355
1542408300	112.768	112.804	112.764	112.797	565
1542409200	112.797	112.861	112.797	112.848	271
1542410100	112.848	112.863	112.828	112.856	177
1542411000	112.859	112.885	112.856	112.858	282
1542411900	112.857	112.872	112.799	112.809	496
1542585600	112.762	112.842	112.746	112.832	319
1542586500	112.831	112.844	112.786	112.837	1043
1542587400	112.838	112.839	112.798	112.815	522
1542588300	112.815	112.82	112.801	112.801	2007
1542589200	112.805	112.805	112.724	112.724	1841
1542590100	112.724	112.727	112.648	112.653	1731
1542591000	112.654	112.676	112.603	112.675	1370
1542591900	112.675	112.733	112.674	112.721	779
1542592800	112.721	112.803	112.713	112.799	1009
1542593700	112.799	112.809	112.768	112.78	663
1542594600	112.781	112.795	112.756	112.795	435
1542595500	112.795	112.804	112.705	112.717	1035
1542596400	112.717	112.719	112.669	112.718	578
1542597300	112.719	112.742	112.694	112.709	985
1542598200	112.709	112.765	112.672	112.696	813
1542599100	112.696	112.716	112.653	112.691	1107
1542600000	112.69	112.692	112.635	112.635	544
1542600900	112.635	112.662	112.626	112.662	367
1542601800	112.661	112.667	112.646	112.65	526
1542602700	112.65	112.681	112.647	112.68	257
1542603600	112.68	112.681	112.656	112.665	921
1542604500	112.664	112.672	112.631	112.648	305
1542605400	112.648	112.719	112.647	112.703	375
1542606300	112.704	112.729	112.703	112.721	423
1542607200	112.722	112.728	112.702	112.728	275
1542608100	112.728	112.761	112.721	112.743	208
1542609000	112.743	112.743	112.725	112.734	168
1542609900	112.734	112.741	112.727	112.727	206
1542610800	112.728	112.767	112.725	112.751	440
1542611700	112.751	112.798	112.747	112.786	366
1542612600	112.785	112.791	112.758	112.783	509
1542613500	112.785	112.82	112.781	112.81	388
1542614400	112.81	112.826	112.783	112.79	349
1542615300	112.79	112.798	112.762	112.774	175
1542616200	112.774	112.777	112.744	112.746	206
1542617100	112.746	112.761	112.744	112.752	248
1542618000	112.752	112.77	112.669	112.675	814
1542618900	112.675	112.719	112.675	112.716	470
1542619800	112.716	112.804	112.714	112.762	674
1542620700	112.762	112.782	112.722	112.729	546
1542621600	112.729	112.852	112.728	112.814	890
1542622500	112.813	112.846	112.796	112.807	1188
1542623400	112.807	112.82	112.775	112.819	515
1542624300	112.817	112.827	112.787	112.809	568
1542625200	112.81	112.847	112.808	112.817	575
1542626100	112.817	112.82	112.788	112.801	395
1542627000	112.8	112.8	112.721	112.732	565
1542627900	112.732	112.733	112.638	112.655	689
1542628800	112.656	112.701	112.639	112.696	793
1542629700	112.697	112.7	112.675	112.689	448
1542630600	112.689	112.701	112.675	112.692	378
1542631500	112.692	112.733	112.69	112.733	388
1542632400	112.734	112.786	112.726	112.752	448
1542633300	112.752	112.769	112.745	112.748	308
1542634200	112.748	112.766	112.739	112.758	482
1542635100	112.76	112.805	112.749	112.788	644
1542636000	112.788	112.815	112.784	112.804	893
1542636900	112.804	112.825	112.795	112.802	470
1542637800	112.802	112.839	112.801	112.825	617
1542638700	112.825	112.834	112.778	112.785	487
1542639600	112.783	112.803	112.78	112.788	607
1542640500	112.788	112.802	112.753	112.772	607
1542641400	112.774	112.817	112.769	112.803	688
1542642300	112.803	112.821	112.789	112.821	526
1542643200	112.82	112.855	112.774	112.846	667
1542644100	112.846	112.87	112.824	112.852	643
1542645000	112.853	112.864	112.812	112.838	1610
1542645900	112.838	112.842	112.705	112.724	990
1542646800	112.723	112.723	112.523	112.53	1578
1542647700	112.53	112.564	112.464	112.499	1444
1542648600	112.498	112.527	112.445	112.486	1425
1542649500	112.487	112.58	112.486	112.571	1409
1542650400	112.57	112.586	112.51	112.517	1297
1542651300	112.517	112.538	112.44	112.472	1222
1542652200	112.472	112.518	112.46	112.513	1102
1542653100	112.513	112.549	112.48	112.535	1290
1542654000	112.534	112.561	112.497	112.523	1224
1542654900	112.522	112.55	112.489	112.523	1144
1542655800	112.523	112.523	112.429	112.467	947
1542656700	112.466	112.504	112.43	112.439	963
1542657600	112.439	112.487	112.437	112.475	940
1542658500	112.474	112.499	112.441	112.449	812
1542659400	112.449	112.503	112.415	112.497	1092
1542660300	112.497	112.504	112.453	112.46	782
1542661200	112.46	112.482	112.438	112.474	945
1542662100	112.475	112.514	112.463	112.506	943
1542663000	112.506	112.545	112.488	112.525	656
1542663900	112.523	112.581	112.512	112.53	910
1542664800	112.53	112.543	112.512	112.534	535
1542665700	112.534	112.565	112.519	112.524	465
1542666600	112.524	112.532	112.491	112.5	592
1542667500	112.5	112.542	112.488	112.54	633
1542668400	112.542	112.551	112.518	112.531	173
1542669300	112.531	112.569	112.518	112.567	131
1542670200	112.567	112.567	112.526	112.538	188
1542671100	112.538	112.557	112.529	112.544	224
1542672000	112.546	112.546	112.509	112.525	817
1542672900	112.525	112.529	112.487	112.491	918
1542673800	112.493	112.524	112.484	112.497	497
1542674700	112.496	112.502	112.481	112.482	1083
1542675600	112.483	112.506	112.457	112.46	924
1542676500	112.46	112.467	112.394	112.396	509
1542677400	112.396	112.442	112.396	112.435	258
1542678300	112.435	112.467	112.426	112.45	348
1542679200	112.45	112.513	112.427	112.487	971
1542680100	112.487	112.547	112.485	112.542	559
1542681000	112.542	112.57	112.524	112.541	513
1542681900	112.541	112.608	112.523	112.591	822
1542682800	112.591	112.592	112.545	112.568	688
1542683700	112.568	112.623	112.564	112.618	678
1542684600	112.62	112.653	112.606	112.623	656
1542685500	112.622	112.659	112.615	112.616	465
1542686400	112.616	112.626	112.591	112.592	375
1542687300	112.592	112.602	112.565	112.6	629
1542688200	112.599	112.62	112.588	112.603	386
